path,project_name,github_url
data/awesome/abseil-cpp,abseil-cpp,https://github.com/abseil/abseil-cpp
data/awesome/Acid,Acid,https://github.com/Equilibrium-Games/Acid
data/awesome/actor-framework,actor-framework,https://github.com/actor-framework/actor-framework
data/awesome/ada,ada,https://github.com/ada-url/ada
data/awesome/alpaka,alpaka,https://github.com/ComputationalRadiationPhysics/alpaka
data/awesome/amgcl,amgcl,https://github.com/ddemidov/amgcl
data/awesome/AmplitudeAudioSDK,AmplitudeAudioSDK,https://github.com/SparkyStudios/AmplitudeAudioSDK
data/awesome/ANNetGPGPU,ANNetGPGPU,https://github.com/ANNetGPGPU/ANNetGPGPU
data/awesome/apophenia,apophenia,https://github.com/b-k/apophenia
data/awesome/argh,argh,https://github.com/adishavit/argh
data/awesome/argparse,argparse,https://github.com/p-ranav/argparse
data/awesome/args,args,https://github.com/taywee/args
data/awesome/arrayfire,arrayfire,https://github.com/arrayfire/arrayfire
data/awesome/asio,asio,https://github.com/boostorg/asio
data/awesome/assimp,assimp,https://github.com/assimp/assimp
data/awesome/asyncplusplus,asyncplusplus,https://github.com/Amanieu/asyncplusplus
data/awesome/au,au,https://github.com/aurora-opensource/au
data/awesome/AudioFile,AudioFile,https://github.com/adamstark/AudioFile
data/awesome/autodiff,autodiff,https://github.com/autodiff/autodiff
data/awesome/axmol,axmol,https://github.com/axmolengine/axmol
data/awesome/backward-cpp,backward-cpp,https://github.com/bombela/backward-cpp
data/awesome/bde,bde,https://github.com/bloomberg/bde
data/awesome/bdwgc,bdwgc,https://github.com/ivmai/bdwgc
data/awesome/beast,beast,https://github.com/boostorg/beast
data/awesome/benchmark,benchmark,https://github.com/google/benchmark
data/awesome/bgfx,bgfx,https://github.com/bkaradzic/bgfx
data/awesome/bit7z,bit7z,https://github.com/rikyoz/bit7z
data/awesome/BitmapPlusPlus,BitmapPlusPlus,https://github.com/baderouaich/BitmapPlusPlus
data/awesome/bitsery,bitsery,https://github.com/fraillt/bitsery
data/awesome/blackhole,blackhole,https://github.com/3Hren/blackhole
data/awesome/blend2d,blend2d,https://github.com/blend2d/blend2d
data/awesome/boden,boden,https://github.com/AshampooSystems/boden
data/awesome/Bolt,Bolt,https://github.com/HSA-Libraries/Bolt
data/awesome/bond,bond,https://github.com/Microsoft/bond
data/awesome/Box2D,Box2D,https://github.com/erincatto/Box2D
data/awesome/Breep,Breep,https://github.com/Organic-Code/Breep
data/awesome/brotli,brotli,https://github.com/google/brotli
data/awesome/brpc,brpc,https://github.com/apache/brpc
data/awesome/buddy_alloc,buddy_alloc,https://github.com/spaskalev/buddy_alloc
data/awesome/bullet3,bullet3,https://github.com/bulletphysics/bullet3
data/awesome/bzip3,bzip3,https://github.com/kspalaiologos/bzip3
data/awesome/capnproto,capnproto,https://github.com/capnproto/capnproto
data/awesome/c-ares,c-ares,https://github.com/c-ares/c-ares
data/awesome/carp,carp,https://github.com/tekknolagi/carp
data/awesome/catboost,catboost,https://github.com/catboost/catboost
data/awesome/Catch2,Catch2,https://github.com/catchorg/Catch2
data/awesome/cctz,cctz,https://github.com/google/cctz
data/awesome/ccv,ccv,https://github.com/liuliu/ccv
data/awesome/Celero,Celero,https://github.com/DigitalInBlue/Celero
data/awesome/cereal,cereal,https://github.com/USCiLab/cereal
data/awesome/cgal,cgal,https://github.com/CGAL/cgal
data/awesome/CGraph,CGraph,https://github.com/ChunelFeng/CGraph
data/awesome/ChaiScript,ChaiScript,https://github.com/ChaiScript/ChaiScript
data/awesome/ChakraCore,ChakraCore,https://github.com/Microsoft/ChakraCore
data/awesome/check,check,https://github.com/danmar/cppcheck
data/awesome/Chipmunk2D,Chipmunk2D,https://github.com/slembcke/Chipmunk2D
data/awesome/chrono,chrono,https://github.com/projectchrono/chrono
data/awesome/cista,cista,https://github.com/felixguendling/cista
data/awesome/cJSON,cJSON,https://github.com/DaveGamble/cJSON
data/awesome/ck,ck,https://github.com/concurrencykit/ck
data/awesome/cli,cli,https://github.com/daniele77/cli
data/awesome/CLI11,CLI11,https://github.com/CLIUtils/CLI11
data/awesome/clib,clib,https://github.com/clibs/clib
data/awesome/clickhouse-cpp,clickhouse-cpp,https://github.com/ClickHouse/clickhouse-cpp
data/awesome/clipp,clipp,https://github.com/muellan/clipp
data/awesome/clReflect,clReflect,https://github.com/Celtoys/clReflect
data/awesome/cnl,cnl,https://github.com/johnmcfarlane/cnl
data/awesome/CNTK,CNTK,https://github.com/Microsoft/CNTK
data/awesome/commata,commata,https://github.com/furfurylic/commata
data/awesome/compile-time-regular-expressions,compile-time-regular-expressions,https://github.com/hanickadot/compile-time-regular-expressions
data/awesome/compute,compute,https://github.com/boostorg/compute
data/awesome/concord,concord,https://github.com/Cogmasters/concord
data/awesome/concurrencpp,concurrencpp,https://github.com/David-Haim/concurrencpp
data/awesome/concurrentqueue,concurrentqueue,https://github.com/cameron314/concurrentqueue
data/awesome/config-loader,config-loader,https://github.com/netcan/config-loader
data/awesome/coost,coost,https://github.com/idealvin/coost
data/awesome/Corange,Corange,https://github.com/orangeduck/Corange
data/awesome/cpgf,cpgf,https://github.com/cpgf/cpgf
data/awesome/CppBenchmark,CppBenchmark,https://github.com/chronoxor/CppBenchmark
data/awesome/cpp-btree,cpp-btree,https://github.com/algorithm-ninja/cpp-btree
data/awesome/cpp-channel,cpp-channel,https://github.com/andreiavrammsd/cpp-channel
data/awesome/cppcheck,cppcheck,https://github.com/danmar/cppcheck
data/awesome/cppcodec,cppcodec,https://github.com/tplgy/cppcodec
data/awesome/cpp-dependencies,cpp-dependencies,https://github.com/tomtom-international/cpp-dependencies
data/awesome/cpp-dump,cpp-dump,https://github.com/philip82148/cpp-dump
data/awesome/cpp-httplib,cpp-httplib,https://github.com/yhirose/cpp-httplib
data/awesome/cppimport,cppimport,https://github.com/tbenthompson/cppimport
data/awesome/cppitertools,cppitertools,https://github.com/ryanhaining/cppitertools
data/awesome/cpp-lazy,cpp-lazy,https://github.com/MarcDirven/cpp-lazy
data/awesome/cpplint,cpplint,https://github.com/cpplint/cpplint
data/awesome/cpp.react,cpp.react,https://github.com/schlangster/cpp.react
data/awesome/CPP-Reflection,CPP-Reflection,https://github.com/AustinBrunkhorst/CPP-Reflection
data/awesome/cpprestsdk,cpprestsdk,https://github.com/Microsoft/cpprestsdk
data/awesome/cpp-rotor,cpp-rotor,https://github.com/basiliscos/cpp-rotor
data/awesome/CppServer,CppServer,https://github.com/chronoxor/CppServer
data/awesome/CppSharp,CppSharp,https://github.com/mono/CppSharp
data/awesome/cpp-sort,cpp-sort,https://github.com/ryanmjacobs/c
data/awesome/cpp-terminal,cpp-terminal,https://github.com/jupyter-xeus/cpp-terminal
data/awesome/cpp-TimSort,cpp-TimSort,https://github.com/gfx/cpp-TimSort
data/awesome/cpptrace,cpptrace,https://github.com/jeremy-rifkin/cpptrace
data/awesome/cpputest,cpputest,https://github.com/cpputest/cpputest
data/awesome/CppVerbalExpressions,CppVerbalExpressions,https://github.com/VerbalExpressions/CppVerbalExpressions
data/awesome/cpr,cpr,https://github.com/whoshuu/cpr
